epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.171,1.2889,1.19514,1.08416,0.95457,0.89022,0.9351,0.61232,1.23922,0.8204,1.07156,0.000665803,0.000665803,0.000665803
2,1386.28,1.26331,0.7745,1.07505,0.97099,0.9278,0.96079,0.63207,1.21344,0.68184,1.09277,0.00106864,0.00106864,0.00106864
3,38441.7,1.2142,0.67915,1.05866,0.9686,0.93098,0.9543,0.62488,1.19793,0.65129,1.08836,0.00120748,0.00120748,0.00120748
4,38989.4,1.1733,0.62363,1.04196,0.98565,0.93345,0.97125,0.67247,1.14096,0.56391,1.03782,0.000812,0.000812,0.000812
5,59231.6,1.11762,0.55077,1.01898,0.98369,0.94076,0.97351,0.67689,1.12818,0.51566,1.03024,0.000416,0.000416,0.000416
