epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.303,1.2889,1.19514,1.08416,0.95457,0.89022,0.9351,0.61232,1.23922,0.8204,1.07156,0.000665803,0.000665803,0.000665803
2,1071.89,1.28535,0.79117,1.08939,0.95296,0.90109,0.94058,0.61416,1.24933,0.77281,1.14063,0.00130609,0.00130609,0.00130609
3,1594.08,1.24569,0.71299,1.08984,0.96948,0.92337,0.9536,0.63355,1.21131,0.69106,1.09658,0.00191997,0.00191997,0.00191997
4,2120.31,1.23428,0.69211,1.09339,0.96456,0.92935,0.95603,0.63185,1.21982,0.63333,1.11235,0.0018812,0.0018812,0.0018812
5,2642.35,1.21422,0.64871,1.0785,0.97224,0.93285,0.96182,0.64013,1.20802,0.60645,1.08908,0.0018416,0.0018416,0.0018416
6,3166.5,1.19862,0.62851,1.07085,0.97366,0.93587,0.96538,0.64998,1.18043,0.58204,1.10256,0.001802,0.001802,0.001802
7,3688.45,1.18488,0.61,1.06513,0.97661,0.9288,0.96202,0.66392,1.17126,0.56726,1.0782,0.0017624,0.0017624,0.0017624
8,4210.39,1.17031,0.59689,1.06417,0.97679,0.92826,0.96308,0.64946,1.175,0.58505,1.09064,0.0017228,0.0017228,0.0017228
9,4738.39,1.16152,0.5812,1.0629,0.97457,0.93734,0.96814,0.66418,1.14512,0.55434,1.08355,0.0016832,0.0016832,0.0016832
10,5260.32,1.1406,0.56294,1.05097,0.98156,0.93478,0.96702,0.66348,1.15361,0.5366,1.08137,0.0016436,0.0016436,0.0016436
11,5791.93,1.13828,0.55753,1.05671,0.97818,0.93804,0.96915,0.66044,1.15684,0.54156,1.1058,0.001604,0.001604,0.001604
12,6325.11,1.13129,0.55317,1.05325,0.97948,0.94076,0.96714,0.67034,1.12364,0.52925,1.07674,0.0015644,0.0015644,0.0015644
13,6845.77,1.12572,0.54366,1.04949,0.98171,0.94022,0.97334,0.67713,1.13158,0.51442,1.08765,0.0015248,0.0015248,0.0015248
14,7374.91,1.12672,0.54261,1.05076,0.98345,0.93632,0.97335,0.67863,1.1425,0.51539,1.08588,0.0014852,0.0014852,0.0014852
15,7899.75,1.11758,0.53521,1.0474,0.97975,0.94668,0.97302,0.68579,1.10857,0.5012,1.09091,0.0014456,0.0014456,0.0014456
16,8425.35,1.11046,0.52598,1.05066,0.9814,0.94628,0.97102,0.68276,1.12437,0.49814,1.07862,0.001406,0.001406,0.001406
17,8951.25,1.12184,0.52359,1.04831,0.98422,0.94936,0.97105,0.68231,1.10417,0.49853,1.07168,0.0013664,0.0013664,0.0013664
18,9471.71,1.11053,0.51966,1.04622,0.97931,0.95168,0.96785,0.68171,1.10992,0.50475,1.07206,0.0013268,0.0013268,0.0013268
19,9991.24,1.1149,0.52154,1.04533,0.98136,0.94419,0.97376,0.6806,1.12957,0.49044,1.09211,0.0012872,0.0012872,0.0012872
20,10514.2,1.10448,0.51052,1.03724,0.98253,0.94764,0.975,0.68252,1.11209,0.48549,1.08697,0.0012476,0.0012476,0.0012476
21,11029.1,1.09656,0.51071,1.04105,0.98136,0.94511,0.97314,0.68842,1.10819,0.48626,1.08277,0.001208,0.001208,0.001208
22,11547.2,1.08877,0.50158,1.04131,0.98246,0.95217,0.97669,0.70103,1.10226,0.477,1.06396,0.0011684,0.0011684,0.0011684
