epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,12067.3,1.09876,0.50599,1.03733,0.97173,0.95276,0.97391,0.69213,1.10065,0.47024,1.06618,0.0011288,0.0011288,0.0011288
24,12581.6,1.08916,0.50256,1.0351,0.97633,0.94946,0.97349,0.68969,1.09302,0.4764,1.05561,0.0010892,0.0010892,0.0010892
25,13103.7,1.06939,0.4867,1.02926,0.97061,0.95113,0.97242,0.68672,1.10771,0.47759,1.0537,0.0010496,0.0010496,0.0010496
26,13620.9,1.08148,0.48738,1.02733,0.98532,0.94874,0.97578,0.69132,1.10444,0.46508,1.06182,0.00101,0.00101,0.00101
27,14137.8,1.07775,0.47864,1.02887,0.98075,0.94837,0.97331,0.69378,1.08467,0.4517,1.06432,0.0009704,0.0009704,0.0009704
28,14650.4,1.07574,0.47891,1.03309,0.98746,0.94837,0.97631,0.70051,1.09891,0.46313,1.07666,0.0009308,0.0009308,0.0009308
29,15163.3,1.06158,0.47391,1.03642,0.98284,0.94728,0.97424,0.69684,1.08497,0.45033,1.08359,0.0008912,0.0008912,0.0008912
30,15676.9,1.05494,0.47002,1.02238,0.98867,0.94674,0.98045,0.69859,1.09643,0.44916,1.07036,0.0008516,0.0008516,0.0008516
31,16196.8,1.05996,0.46704,1.02664,0.98206,0.94783,0.97534,0.69963,1.08031,0.4353,1.07162,0.000812,0.000812,0.000812
32,16712.4,1.04506,0.45952,1.02355,0.9799,0.95364,0.97824,0.69899,1.07645,0.43866,1.06647,0.0007724,0.0007724,0.0007724
33,17232.1,1.05053,0.45873,1.02027,0.98378,0.95435,0.97708,0.70301,1.07522,0.43804,1.05905,0.0007328,0.0007328,0.0007328
34,17756.9,1.04233,0.45578,1.01631,0.98043,0.95294,0.97542,0.69788,1.09043,0.4387,1.06072,0.0006932,0.0006932,0.0006932
35,18279.3,1.04287,0.45222,1.01409,0.98373,0.95312,0.97695,0.70748,1.07433,0.43043,1.06053,0.0006536,0.0006536,0.0006536
36,18799.1,1.04442,0.45099,1.01918,0.98373,0.95302,0.97709,0.70271,1.08167,0.42969,1.06096,0.000614,0.000614,0.000614
37,19322.8,1.02915,0.44208,1.0146,0.98325,0.9569,0.97862,0.70566,1.07317,0.42928,1.06108,0.0005744,0.0005744,0.0005744
38,19842.7,1.02918,0.43952,1.01463,0.98434,0.95435,0.97831,0.70973,1.06738,0.42279,1.06311,0.0005348,0.0005348,0.0005348
39,20363,1.03119,0.43844,1.015,0.98607,0.95109,0.98025,0.70706,1.07289,0.41995,1.05183,0.0004952,0.0004952,0.0004952
40,20883.5,1.01759,0.43062,1.0118,0.98484,0.95331,0.97994,0.71088,1.06292,0.42038,1.05609,0.0004556,0.0004556,0.0004556
41,21401.4,1.00997,0.40917,1.01824,0.98377,0.95527,0.97992,0.70461,1.0723,0.42844,1.05611,0.000416,0.000416,0.000416
42,21921.1,1.00965,0.40691,1.02219,0.98106,0.95728,0.97844,0.7079,1.07134,0.42425,1.05089,0.0003764,0.0003764,0.0003764
43,22439.2,1.00196,0.40037,1.01785,0.98557,0.95543,0.97939,0.70619,1.07647,0.42133,1.05888,0.0003368,0.0003368,0.0003368
44,22957.6,0.99373,0.39325,1.01644,0.98273,0.95869,0.97797,0.71051,1.06639,0.41795,1.06149,0.0002972,0.0002972,0.0002972
45,23478.7,0.98892,0.39187,1.00993,0.9849,0.9569,0.98141,0.71042,1.06551,0.41224,1.06122,0.0002576,0.0002576,0.0002576
46,23995.1,0.98067,0.38473,1.01148,0.98242,0.9587,0.98249,0.71705,1.06283,0.41,1.06104,0.000218,0.000218,0.000218
47,24511.4,0.97986,0.38082,1.00804,0.98337,0.95652,0.98008,0.71075,1.06667,0.40855,1.05425,0.0001784,0.0001784,0.0001784
48,25019.6,0.97102,0.3788,1.00378,0.98056,0.95968,0.98033,0.71187,1.06126,0.40519,1.05265,0.0001388,0.0001388,0.0001388
49,25534.4,0.96757,0.37467,1.00204,0.9849,0.95718,0.98034,0.71654,1.05949,0.40312,1.05509,9.92e-05,9.92e-05,9.92e-05
50,26045,0.96429,0.37125,1.00732,0.98606,0.95652,0.98132,0.71502,1.06338,0.40193,1.05812,5.96e-05,5.96e-05,5.96e-05
